quarter_end,n_total,top_dec_ret_3m,bot_dec_ret_3m,top_quin_ret_3m,bot_quin_ret_3m,top_dec_ret_6m,bot_dec_ret_6m,top_quin_ret_6m,bot_quin_ret_6m,top_dec_ret_12m,bot_dec_ret_12m,top_quin_ret_12m,bot_quin_ret_12m
2015-12-31,1193,0.14243927939471382,0.21042109775176474,0.14379932135751763,0.16580443990258859,0.30326452300154,0.39241998268182304,0.270428737696233,0.3309695435994942,0.5560687221937093,0.6983430699613067,0.5027848438363756,0.534798276822705
2016-03-31,1201,0.1310550989395684,0.12199503382022264,0.1049767377667656,0.12831684997938872,0.20795159254501053,0.19191208399700246,0.17904521663501516,0.17636973149554047,0.32089581868315215,0.39567092698933864,0.29606455819588834,0.3883739891085437
2016-06-30,1207,0.07127380478269853,0.05877659016376317,0.07425619114843172,0.040911891610069424,0.17818942893386744,0.19289150037551414,0.19906326094515148,0.1516940247977043,0.18203572734764684,0.32479642794234875,0.18843872142744056,0.28041036936984065
2016-09-30,1220,0.09330438241361558,0.1284705645289107,0.10521152881452106,0.10959712413992008,0.06616475741614108,0.13811873560147525,0.06857273063879882,0.13673837331263375,0.21833672835973195,0.35226846395576017,0.19657153799225555,0.3259506644040549
2016-12-31,1241,0.010939192070163728,0.04806531297948998,0.014458676464101497,0.055008588169382824,0.030272262183565105,0.12104092796345414,0.031175466685732133,0.11498176362260179,0.1976890544121865,0.2610438334093551,0.1905045429825918,0.23756687930034473
2017-03-31,1240,0.01486296644796054,0.06015752215520044,0.008583750461956542,0.049653963701573496,0.10055225833881455,0.18681189535786963,0.07792342196546345,0.14560011883166565,0.25619625130012263,0.41097792124022897,0.20128740611239818,0.3088611007155977
2017-06-30,1239,0.08425374780434476,0.09831231715997528,0.07546082803095917,0.08856655907981235,0.17944495060422308,0.14898164558053692,0.15469113656465194,0.10578231922892911,0.35471326098707723,0.4369036916833978,0.3023779257676786,0.37478554042113893
2017-09-30,1238,0.09685871089286115,0.08387957110596601,0.09167598429913504,0.05132225580186461,0.159003347987758,0.18730590617986945,0.12839208043113218,0.1456581168076167,0.15006122242319417,0.1952401873743924,0.11465346329345662,0.15991544080570017
2017-12-31,1277,0.05271058905572763,0.10263940954932547,0.04313116025531554,0.09064273108116584,0.09519618012632763,0.15833737712425228,0.08434412926000802,0.17047114704560457,0.05196713113166674,0.18197175607534694,0.05457920002548275,0.19518254004556362
2018-03-31,1272,0.058859768588156954,0.07144873763908868,0.05339384054561163,0.08271990517129715,0.0009428679248589741,0.02913367346273741,-0.012514487306676878,0.01812463092514848,0.035601324749818745,0.20049681991794038,0.02662653069023549,0.1481807945288221
2018-06-30,1287,-0.04707842620866,-0.047964456314358105,-0.06471645954147187,-0.06901805236998451,-0.05002672986704371,0.0026137271165697713,-0.03025866434672627,-0.025635730664443128,-0.053638214971412454,0.09089724448300517,-0.046171125527046726,0.04369633449610661
2018-09-30,1287,0.034234252571109895,0.06150968228807245,0.049347964464445754,0.07078792432867342,0.03888721919795446,0.08636451552039079,0.05756179904289788,0.07148742511958833,0.10724085087230598,0.20976228006097022,0.1471225238423635,0.18479977138473905
2018-12-31,1312,0.04558217728532325,0.07688096621588711,0.028327105193392235,0.06250172513159384,-0.008415483676307407,0.057925608248239197,-0.020542948066913078,0.04837586727300813,0.18422123048474218,0.29889043203691745,0.1542406485728517,0.280491511551704
2019-03-31,1304,-0.04340496197201744,-0.033713160813041036,-0.03531182258838432,-0.0051316857579750946,0.07822205491792823,0.06546273424666399,0.08146348808541021,0.0784347093819643,-0.17124151134769516,-0.06155896740488518,-0.2098465476818212,-0.043614585103363
2019-06-30,1306,0.13566739666524283,0.10375627617707563,0.14220987252001518,0.10017046772447659,0.19886597987552979,0.2253264295945447,0.20214510859091886,0.20820246882460522,0.1307831552493114,0.28963509229498774,0.10376707985242165,0.26591680117213207
2019-09-30,1304,0.051401350369452474,0.1284454786400889,0.039945773583732344,0.11768281521838894,-0.20134521980313655,-0.05352496060883879,-0.21529452087110224,-0.05567534422452976,0.07472581902032698,0.33824393377064815,0.042560671094899194,0.2988924864050665
2019-12-31,1341,-0.3030778327101116,-0.1710497100205939,-0.3045389792283141,-0.1798325540900317,-0.07718936849008824,0.06374255732428465,-0.08009597990179425,0.05129704277513445,0.3125830112036403,0.807967595722053,0.2499153651558358,0.6742676123253603
2020-03-31,1325,0.3471317172240889,0.36179778045719896,0.34952345673294705,0.31567007437719663,0.46805277449847704,0.46541707183115105,0.48450021393412623,0.44931536947228273,1.419975801261248,1.265780693031325,1.3260835669538502,1.011358739012796
2020-06-30,1342,0.08121407063960603,0.11180708105790278,0.0726621157685332,0.13499888532399176,0.4787077020826729,0.5538080953155965,0.4105756100107888,0.5524102705677654,0.754738854647772,0.6596928154744064,0.655489559175854,0.6196387962126042
2020-09-30,1350,0.2264661408969914,0.36011564252534883,0.21422296117702727,0.29351367408960416,0.4632267955255072,0.3673505319585943,0.42567366318595823,0.2526043446948638,0.7168123042843941,0.6141510459575142,0.6238367793704931,0.4970577129585759
2020-12-31,1387,0.1867540939215837,0.0926185037209264,0.19180646450602562,-0.004558135956626228,0.21427444743854424,0.06882555289680471,0.20180164426588834,0.024925140135698097,0.29663761871600175,0.1194245919687079,0.2744019161056767,0.024083764419927756
2021-03-31,1395,0.012643095786632747,-0.020175108275779924,0.017108400313217847,0.03252453403769569,0.12416148543611623,0.061890533200939374,0.134897035767948,0.12498543905680513,-0.011240255966018395,-0.04131917039714502,0.04218751973132263,-0.0969940928376276
2021-06-30,1402,0.16057090769354326,0.06572673983890008,0.1216690237769537,0.08517714602875408,0.11812874925266215,0.019215413821976616,0.07753682775482408,-0.04126109066432125,0.16662591170422136,0.07634564356751322,0.1015103010763657,-0.011467297686404422
2021-09-30,1403,-0.003086017127828267,-0.039795728264304206,-0.0029192259521442286,-0.09902510112364835,-0.011312699827054875,-0.071852105960051,-0.033137497645006085,-0.17842712785985498,0.07024784794923652,-0.032216384977343734,0.0205792019299552,-0.13297376186304152
2021-12-31,1412,-0.04330979386361334,-0.06886131881135596,-0.044125552006617705,-0.1199525192773955,0.015357372205084065,0.06109443491522573,0.01860415458638544,0.010101903869209642,0.09292773974597963,0.12946460405941304,0.07484007968217085,0.051623501028096846
2022-03-31,1411,0.08728516239542841,0.17358130691045773,0.07794316248710186,0.1529677243669728,0.07763892278086997,0.08629097699493325,0.06536542145087007,0.0889332154681143,-0.008148388761818396,0.24710337516037556,-0.004511927314895578,0.19229371463914413
2022-06-30,1412,0.03915870558296163,-0.044999527397217895,0.014092381911488172,-0.04529015195980866,0.08267357468610916,0.05840407975173165,0.05387486781556618,0.046445399690829926,0.05636190656380105,0.13710338861584054,0.02531103129133379,0.08078163753033657
2022-09-30,1410,0.0655359834673766,0.1355323404208078,0.06095301073394259,0.11354515654657459,-0.0928703919555766,0.1126944290027842,-0.07723084342054304,0.0796286260867589,0.05609797505314321,0.18610380988150088,0.052798207824322305,0.1193911924494116
2022-12-31,1431,-0.1736028918579951,-0.05020135064207872,-0.1529494873043407,-0.06294382937849965,-0.01276449854714554,0.03008603527830465,-0.02705489799916802,0.002363117486095907,0.1818191414438825,0.1755672352045945,0.14775309049006558,0.13288471304315158
2023-03-31,1435,0.196854308906271,0.10536260011478532,0.1630496316689953,0.07512803684619379,0.1535052391741568,0.02144019895939475,0.11314162335428639,-0.0045573861995279056,0.47258785010247933,0.40317155563422324,0.40309275739688877,0.3649515368848136
2023-06-30,1435,-0.04792255925702143,-0.10051138961807576,-0.05879017649731864,-0.10798320395632524,0.09842571655508456,0.021809043187942936,0.07255892909400792,0.03364040621922173,0.21298249020407928,0.19830290923459618,0.18901739884691388,0.1896946476417101
2023-09-30,1435,0.16687703013204538,0.1787513669707159,0.1543574323336638,0.16863544799178207,0.22421142098317917,0.2985312110790359,0.21341073309998612,0.2600601660051435,0.3897392240328989,0.62466814762457,0.38507810929936304,0.5318401525370314
2023-12-31,1456,0.10304472374319744,0.1179704500996128,0.0949128286763827,0.08694461551234624,0.11845257180085363,0.1537559557455426,0.11932300504366876,0.11666776000807699,0.25807745024386775,0.3212497140840922,0.24474265210420432,0.2560593210996472
2024-03-31,1448,0.018525485012286593,0.03842402263836849,0.02234275667420765,0.028624875643142454,0.138636613176612,0.160882265987545,0.1475522033821722,0.15722713845313785,0.03416081607651413,0.13249197906648624,0.0536690814775521,0.11219932636969615
2024-06-30,1455,0.1277874234323974,0.15584276019629162,0.1413988456069755,0.15085475555120403,0.08567649090342305,0.1849834334441839,0.10451008843051404,0.15340138209359908,0.11317195370013103,0.33634512380917747,0.13179459698788526,0.25393450316174865
2024-09-30,1458,-0.01756995359725262,0.02750056153389232,-0.02620285168713195,0.01440067720586667,-0.05809382809637976,-0.05199591420286244,-0.06361123249263306,-0.04748665178574632,0.035416428156679676,0.1922426678761899,-0.0015458315518974712,0.11606198420470523
2024-12-31,1464,-0.04156976078181563,-0.05349399057190066,-0.04540896290814,-0.04311011696343541,0.006212096389816174,0.02456176740695967,0.005480943181143625,0.024876809403594817,0.18550159945345532,0.37302525931008906,0.15959996194034537,0.2877996348209191
