indicator,horizon,mean_IC,IC_IR,positive_rate,t_stat,significant,n_days
rvol_lowatr,5d,-0.0231,-0.148,44.9,-4.45,True,904
rvol_lowatr,10d,-0.0304,-0.205,40.8,-6.15,True,899
rvol_lowatr,20d,-0.0328,-0.215,37.9,-6.41,True,889
rvol_lowatr,40d,-0.0307,-0.187,41.8,-5.51,True,869
rvol_lowatr,60d,-0.0373,-0.25,39.8,-7.28,True,849
trigger_proxy,5d,-0.0019,-0.012,50.0,-0.36,False,904
trigger_proxy,10d,0.0017,0.012,50.7,0.35,False,899
trigger_proxy,20d,0.0071,0.047,49.7,1.39,False,889
trigger_proxy,40d,-0.0011,-0.008,51.6,-0.23,False,869
trigger_proxy,60d,0.0101,0.073,54.1,2.12,True,849
trend_score,5d,0.0197,0.137,55.7,4.0,True,860
trend_score,10d,0.0256,0.183,55.3,5.35,True,855
trend_score,20d,0.0332,0.239,57.9,6.94,True,845
trend_score,40d,0.0363,0.241,56.6,6.93,True,825
trend_score,60d,0.0433,0.277,52.0,7.85,True,805
quality_score,5d,0.0392,0.317,64.8,9.52,True,904
quality_score,10d,0.0534,0.438,68.6,13.12,True,899
quality_score,20d,0.0664,0.545,72.0,16.24,True,889
quality_score,40d,0.0754,0.597,74.5,17.59,True,869
quality_score,60d,0.0732,0.627,75.5,18.28,True,849
combined_score,5d,0.0379,0.302,63.7,9.09,True,904
combined_score,10d,0.0513,0.411,68.0,12.32,True,899
combined_score,20d,0.0644,0.522,71.5,15.57,True,889
combined_score,40d,0.0709,0.545,74.8,16.07,True,869
combined_score,60d,0.067,0.55,76.1,16.03,True,849
f_score,5d,0.0595,0.505,70.6,15.17,True,904
f_score,10d,0.0787,0.659,75.3,19.77,True,899
f_score,20d,0.1005,0.843,80.8,25.13,True,889
f_score,40d,0.1081,0.819,78.9,24.13,True,869
f_score,60d,0.1134,0.903,81.0,26.3,True,849
