year,n,ret_3stage,ret_bh,diff
2015,103,-0.01691829200089206,-0.05999864786086513,0.04308035585997307
2016,207,0.00039701318757398026,0.025332495199438143,-0.024935482011864164
2017,548,0.010992704278422855,0.06104804922556163,-0.05005534494713878
2018,492,-0.0030280983679908126,-0.028564601453432217,0.025536503085441406
2019,487,0.012026983609893635,0.02669073404598341,-0.014663750436089773
2020,523,0.025215625899797173,0.10120461380616073,-0.07598898790636356
2021,607,0.02465948909809096,0.06510938122371164,-0.04044989212562068
2022,391,-0.011524241159431048,-0.05751791105189889,0.045993669892467844
2023,573,0.030222602395392425,0.10746986407088582,-0.0772472616754934
2024,577,0.023760752888016178,0.05502583516062186,-0.03126508227260568
2025,415,0.038641067310746145,0.08590428853256363,-0.04726322122181748
