factor,horizon,IC,IR,n_months,month_winrate,top_ret,bot_ret,spread,grade
12m return,1m,-0.004095492676947347,-0.02480471498307285,118,0.5084745762711864,0.021445245369157248,0.040372635096321385,-0.018927389727164127,D
12m return,3m,-0.0025396113111864453,-0.016792925993554416,116,0.5344827586206896,0.060070992764659555,0.09247714037151385,-0.03240614760685429,D
12m return,6m,0.0009983860899706036,0.006829725672418931,113,0.5575221238938053,0.11818742506542028,0.20158717904508658,-0.08339975397966629,D
12-1m (J-T classic),1m,-0.002547157442179347,-0.016124825939942286,118,0.5084745762711864,0.020757481505012113,0.0389004536161376,-0.018142972111125484,D
12-1m (J-T classic),3m,-0.0032759767568426037,-0.022405991549515464,116,0.5086206896551724,0.06000997265009199,0.09166570419693745,-0.03165573154684547,D
12-1m (J-T classic),6m,0.0008361899635211239,0.005623239578381469,113,0.5486725663716814,0.11800022296826715,0.2001061361677813,-0.08210591319951412,D
6-1m,1m,-0.0011803265274512639,-0.00804675814743539,124,0.46774193548387094,0.021546499228789307,0.03799880622588454,-0.016452306997095243,D
6-1m,3m,0.005941561457163037,0.04981369138351638,122,0.5737704918032787,0.06657960485554097,0.07974840586613563,-0.013168801010594663,D
6-1m,6m,0.01490822724331585,0.12848032707398827,119,0.6050420168067226,0.13211367406025148,0.1755725161985838,-0.04345884213833231,B
MA alignment 0-3,1m,0.0010367840006508039,0.007169246261772716,128,0.5234375,0.013580773081893247,0.014443983253401821,-0.0008632101715085752,D
MA alignment 0-3,3m,0.005207857299688456,0.0436305319759767,126,0.5555555555555556,0.04137579184925945,0.045950035896417746,-0.004574244047158294,D
MA alignment 0-3,6m,0.007750502648317192,0.06983725461682304,123,0.5365853658536586,0.08075746010866096,0.0949569454870005,-0.01419948537833954,C
