year,strategy,n,mean,std,sharpe,win,sl_rate
2015,baseline_TP,105,-0.03640108692017377,0.07453100101647403,-0.48840195923475954,0.20952380952380953,0.6857142857142857
2015,best_TP,105,-0.03743343312568958,0.0718081964234802,-0.5212974979197418,0.20952380952380953,0.6857142857142857
2015,SL_only,105,-0.03743343312568958,0.0718081964234802,-0.5212974979197418,0.20952380952380953,0.6857142857142857
2015,pure_hold,105,-0.05051615350125624,0.10373153954102668,-0.4869893354014734,0.3047619047619048,0.6857142857142857
2016,baseline_TP,212,0.01957462760426393,0.07519326231306839,0.260324223236447,0.6084905660377359,0.3018867924528302
2016,best_TP,212,0.019131118320115128,0.07796486615009256,0.2453812757567649,0.6037735849056604,0.3018867924528302
2016,SL_only,212,0.017682576283134903,0.07384631809075834,0.23945102126016257,0.6037735849056604,0.3018867924528302
2016,pure_hold,212,0.02378337342026591,0.07342507981142082,0.32391348407586684,0.6650943396226415,0.3018867924528302
2017,baseline_TP,553,0.03577851941200263,0.11197184563648686,0.319531389418698,0.5479204339963833,0.32730560578661844
2017,best_TP,553,0.040398339545459815,0.12928923407471413,0.3124648377305281,0.5443037974683544,0.32730560578661844
2017,SL_only,553,0.041705315345504645,0.13873025376105444,0.3006216323754215,0.5443037974683544,0.32730560578661844
2017,pure_hold,553,0.0450521984281375,0.1472516652220232,0.30595374497265393,0.6039783001808319,0.32730560578661844
2018,baseline_TP,480,-0.010158017631112652,0.10527254503748054,-0.0964925624957206,0.35,0.5479166666666667
2018,best_TP,480,-0.010438375881559913,0.11517634892482223,-0.09062950839302293,0.33958333333333335,0.5479166666666667
2018,SL_only,480,-0.01025385218341805,0.11696360469685729,-0.08766703292014359,0.33958333333333335,0.5479166666666667
2018,pure_hold,480,-0.022010389906029867,0.1472884365983117,-0.14943732457461745,0.41458333333333336,0.5479166666666667
2019,baseline_TP,487,0.021160629076409816,0.11056736448042925,0.19138223268544408,0.47433264887063653,0.4188911704312115
2019,best_TP,487,0.023076770440862527,0.12177081470179511,0.18950986324083727,0.47433264887063653,0.4188911704312115
2019,SL_only,487,0.023175903838608788,0.12461755887772474,0.18597623037495928,0.4722792607802875,0.4188911704312115
2019,pure_hold,487,0.034725523341316726,0.1287074915818442,0.2698018811067809,0.5523613963039015,0.4188911704312115
2020,baseline_TP,530,0.02220737781317018,0.13710802258917307,0.16196993723490413,0.42452830188679247,0.4962264150943396
2020,best_TP,530,0.03433565475054747,0.1679869872552323,0.20439472908922007,0.4226415094339623,0.4962264150943396
2020,SL_only,530,0.03754584648822714,0.17880323922854302,0.20998415157477504,0.4226415094339623,0.4962264150943396
2020,pure_hold,530,0.03490054359254513,0.19963078012426197,0.1748254631416106,0.5037735849056604,0.4962264150943396
2021,baseline_TP,615,0.025690194195618646,0.14863199551238482,0.17284430655092697,0.44065040650406506,0.47317073170731705
2021,best_TP,615,0.03642112552893628,0.18431075568087485,0.1976071629373475,0.43089430894308944,0.47317073170731705
2021,SL_only,615,0.037827667923507675,0.19140284567601853,0.19763378015568983,0.43089430894308944,0.47317073170731705
2021,pure_hold,615,0.04286939191486535,0.19977850590823135,0.21458460568604656,0.5252032520325203,0.47317073170731705
2022,baseline_TP,383,-0.01980677352692534,0.11570961477489747,-0.17117655750092692,0.2924281984334204,0.618798955613577
2022,best_TP,383,-0.021099395692966025,0.12111086796508655,-0.1742155435550878,0.28720626631853785,0.618798955613577
2022,SL_only,383,-0.021260089142696365,0.12105862927510956,-0.1756181221446192,0.28720626631853785,0.618798955613577
2022,pure_hold,383,-0.025830664441021597,0.15535816592382512,-0.1662652509278903,0.4046997389033943,0.618798955613577
2023,baseline_TP,576,0.03669603604455099,0.1320345023981774,0.27792762783992997,0.5138888888888888,0.375
2023,best_TP,576,0.041723665421064524,0.1561883606171141,0.2671368420553914,0.5086805555555556,0.375
2023,SL_only,576,0.04511557643167001,0.16896507197739669,0.2670112580291467,0.5086805555555556,0.375
2023,pure_hold,576,0.06358145891714093,0.18897945966332572,0.3364464002088575,0.6111111111111112,0.375
2024,baseline_TP,567,0.03474441467979791,0.14967015335187012,0.23213990165504014,0.4656084656084656,0.43033509700176364
2024,best_TP,567,0.0458023446803537,0.1783982116011774,0.2567421739784493,0.4620811287477954,0.43033509700176364
2024,SL_only,567,0.0463327339113557,0.18895400104158416,0.24520641878950739,0.4620811287477954,0.43033509700176364
2024,pure_hold,567,0.0576889133246511,0.1989498390716313,0.28996712736158775,0.5414462081128748,0.43033509700176364
2025,baseline_TP,415,0.026389448740111537,0.16900788154843416,0.1561433023024365,0.3493975903614458,0.5662650602409639
2025,best_TP,415,0.04575221972706773,0.218313481608536,0.2095712064594678,0.3421686746987952,0.5662650602409639
2025,SL_only,415,0.05259342581590364,0.24159455302654248,0.21769292873968699,0.3421686746987952,0.5662650602409639
2025,pure_hold,415,0.03774864105016106,0.27382870073051957,0.13785494708719476,0.44096385542168676,0.5662650602409639
9999,baseline_TP,4923,0.019767339545059312,0.1314781776222069,0.1503469237447095,0.4399756246191347,0.46110095470241724
9999,best_TP,4923,0.02644714355607645,0.1565627968105578,0.16892355077226745,0.43489742027219175,0.46110095470241724
9999,SL_only,4923,0.028102834722181315,0.1658456749826978,0.16945171904611442,0.43469429209831406,0.46110095470241724
9999,pure_hold,4923,0.03066527064158002,0.18380792811048519,0.16683323160656824,0.5204143814747105,0.46110095470241724
